epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,22.143333,21.200000,19.288333,17.700000,0.778567,0.788000,0.807117,0.823000
2,24.923333,24.480000,10.580000,10.970000,0.750767,0.755200,0.894200,0.890300
3,16.338333,17.060000,7.360000,7.990000,0.836617,0.829400,0.926400,0.920100
4,5.793333,5.960000,5.423333,6.100000,0.942067,0.940400,0.945767,0.939000
5,6.820000,7.810000,5.560000,6.500000,0.931800,0.921900,0.944400,0.935000
6,4.333333,5.140000,2.846667,3.940000,0.956667,0.948600,0.971533,0.960600
7,4.885000,6.130000,2.381667,3.540000,0.951150,0.938700,0.976183,0.964600
8,4.996667,6.080000,2.230000,3.610000,0.950033,0.939200,0.977700,0.963900
9,3.195000,4.310000,1.833333,3.050000,0.968050,0.956900,0.981667,0.969500
10,2.335000,3.770000,3.243333,4.830000,0.976650,0.962300,0.967567,0.951700
11,1.985000,3.240000,2.216667,3.430000,0.980150,0.967600,0.977833,0.965700
12,4.613333,5.960000,2.571667,4.030000,0.953867,0.940400,0.974283,0.959700
13,1.990000,3.480000,0.553333,2.370000,0.980100,0.965200,0.994467,0.976300
14,5.871667,7.090000,1.735000,3.170000,0.941283,0.929100,0.982650,0.968300
15,1.221667,3.050000,1.210000,2.910000,0.987783,0.969500,0.987900,0.970900
16,1.155000,3.200000,0.988333,2.940000,0.988450,0.968000,0.990117,0.970600
17,1.226667,2.870000,0.470000,2.330000,0.987733,0.971300,0.995300,0.976700
18,0.750000,2.750000,0.333333,2.110000,0.992500,0.972500,0.996667,0.978900
19,2.606667,4.220000,0.803333,2.580000,0.973933,0.957800,0.991967,0.974200
20,0.573333,2.440000,0.431667,2.280000,0.994267,0.975600,0.995683,0.977200
21,0.515000,2.460000,0.578333,2.510000,0.994850,0.975400,0.994217,0.974900
22,0.496667,2.540000,0.293333,2.190000,0.995033,0.974600,0.997067,0.978100
23,0.680000,2.860000,0.355000,2.170000,0.993200,0.971400,0.996450,0.978300
24,0.663333,2.620000,1.430000,2.970000,0.993367,0.973800,0.985700,0.970300
25,0.370000,2.470000,0.525000,2.400000,0.996300,0.975300,0.994750,0.976000
26,0.306667,2.090000,0.318333,2.440000,0.996933,0.979100,0.996817,0.975600
27,0.348333,2.320000,0.166667,2.090000,0.996517,0.976800,0.998333,0.979100
28,0.361667,2.440000,0.186667,1.940000,0.996383,0.975600,0.998133,0.980600
29,0.245000,2.300000,0.211667,2.330000,0.997550,0.977000,0.997883,0.976700
30,0.523333,2.600000,0.236667,2.360000,0.994767,0.974000,0.997633,0.976400
31,0.205000,2.310000,0.173333,2.260000,0.997950,0.976900,0.998267,0.977400
32,0.328333,2.380000,0.520000,2.450000,0.996717,0.976200,0.994800,0.975500
33,0.181667,2.190000,0.226667,2.180000,0.998183,0.978100,0.997733,0.978200
34,0.206667,2.200000,0.233333,2.300000,0.997933,0.978000,0.997667,0.977000
35,0.351667,2.360000,0.230000,2.440000,0.996483,0.976400,0.997700,0.975600
36,0.328333,2.420000,0.128333,2.170000,0.996717,0.975800,0.998717,0.978300
37,0.631667,2.580000,0.375000,2.480000,0.993683,0.974200,0.996250,0.975200
38,0.251667,2.360000,0.110000,2.260000,0.997483,0.976400,0.998900,0.977400
39,0.446667,2.560000,0.056667,2.170000,0.995533,0.974400,0.999433,0.978300
40,0.276667,2.290000,0.091667,2.370000,0.997233,0.977100,0.999083,0.976300
41,0.293333,2.400000,0.121667,2.310000,0.997067,0.976000,0.998783,0.976900
42,0.128333,2.130000,0.100000,2.370000,0.998717,0.978700,0.999000,0.976300
43,0.160000,2.240000,0.213333,2.310000,0.998400,0.977600,0.997867,0.976900
44,0.131667,2.220000,0.320000,2.680000,0.998683,0.977800,0.996800,0.973200
45,0.173333,2.320000,0.068333,2.280000,0.998267,0.976800,0.999317,0.977200
46,0.156667,2.160000,0.090000,2.270000,0.998433,0.978400,0.999100,0.977300
47,0.126667,2.190000,0.133333,2.200000,0.998733,0.978100,0.998667,0.978000
48,0.066667,1.940000,0.105000,2.240000,0.999333,0.980600,0.998950,0.977600
49,0.083333,2.080000,0.071667,2.170000,0.999167,0.979200,0.999283,0.978300
50,0.183333,2.330000,0.168333,2.330000,0.998167,0.976700,0.998317,0.976700
51,0.040000,2.010000,0.051667,2.110000,0.999600,0.979900,0.999483,0.978900
52,0.143333,2.450000,0.136667,2.330000,0.998567,0.975500,0.998633,0.976700
53,0.190000,2.260000,0.126667,2.380000,0.998100,0.977400,0.998733,0.976200
54,0.363333,2.380000,0.066667,2.080000,0.996367,0.976200,0.999333,0.979200
55,0.195000,2.410000,0.173333,2.160000,0.998050,0.975900,0.998267,0.978400
56,0.115000,2.220000,0.193333,2.540000,0.998850,0.977800,0.998067,0.974600
57,0.175000,2.140000,0.088333,2.190000,0.998250,0.978600,0.999117,0.978100
58,0.085000,2.140000,0.081667,2.230000,0.999150,0.978600,0.999183,0.977700
59,0.165000,2.350000,0.061667,2.310000,0.998350,0.976500,0.999383,0.976900
60,0.093333,2.230000,0.066667,2.110000,0.999067,0.977700,0.999333,0.978900
