epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,6.091667,6.310000,7.348333,7.210000,0.939083,0.936900,0.926517,0.927900
2,3.453333,3.800000,4.011667,4.360000,0.965467,0.962000,0.959883,0.956400
3,2.780000,3.410000,3.055000,3.690000,0.972200,0.965900,0.969450,0.963100
4,1.693333,2.720000,2.143333,2.960000,0.983067,0.972800,0.978567,0.970400
5,1.171667,2.300000,1.833333,2.800000,0.988283,0.977000,0.981667,0.972000
6,1.155000,2.390000,1.535000,2.590000,0.988450,0.976100,0.984650,0.974100
7,0.536667,1.900000,1.833333,3.180000,0.994633,0.981000,0.981667,0.968200
8,0.478333,2.090000,0.671667,1.940000,0.995217,0.979100,0.993283,0.980600
9,0.740000,2.240000,0.848333,2.220000,0.992600,0.977600,0.991517,0.977800
10,0.233333,1.950000,0.841667,2.250000,0.997667,0.980500,0.991583,0.977500
11,0.136667,1.920000,0.708333,2.200000,0.998633,0.980800,0.992917,0.978000
12,0.088333,1.800000,0.298333,2.000000,0.999117,0.982000,0.997017,0.980000
13,0.036667,1.800000,0.488333,2.200000,0.999633,0.982000,0.995117,0.978000
14,0.030000,1.690000,0.208333,1.770000,0.999700,0.983100,0.997917,0.982300
15,0.023333,1.840000,1.121667,2.890000,0.999767,0.981600,0.988783,0.971100
16,0.043333,1.780000,0.510000,2.230000,0.999567,0.982200,0.994900,0.977700
17,0.031667,1.650000,0.413333,2.320000,0.999683,0.983500,0.995867,0.976800
18,0.060000,1.740000,0.118333,1.870000,0.999400,0.982600,0.998817,0.981300
19,0.003333,1.660000,0.131667,1.840000,0.999967,0.983400,0.998683,0.981600
20,0.048333,1.700000,0.795000,2.970000,0.999517,0.983000,0.992050,0.970300
21,0.003333,1.650000,0.650000,2.940000,0.999967,0.983500,0.993500,0.970600
22,0.008333,1.670000,0.283333,2.150000,0.999917,0.983300,0.997167,0.978500
23,0.008333,1.610000,0.205000,2.250000,0.999917,0.983900,0.997950,0.977500
24,0.035000,1.780000,0.318333,2.470000,0.999650,0.982200,0.996817,0.975300
25,0.006667,1.620000,0.146667,2.160000,0.999933,0.983800,0.998533,0.978400
26,0.186667,2.000000,0.130000,1.960000,0.998133,0.980000,0.998700,0.980400
27,0.006667,1.640000,0.056667,2.000000,0.999933,0.983600,0.999433,0.980000
28,0.000000,1.700000,0.260000,2.180000,1.000000,0.983000,0.997400,0.978200
29,0.020000,1.680000,0.023333,1.930000,0.999800,0.983200,0.999767,0.980700
30,0.015000,1.570000,0.115000,2.270000,0.999850,0.984300,0.998850,0.977300
31,0.015000,1.630000,0.055000,1.970000,0.999850,0.983700,0.999450,0.980300
32,0.015000,1.700000,0.220000,2.080000,0.999850,0.983000,0.997800,0.979200
33,0.001667,1.660000,0.121667,1.890000,0.999983,0.983400,0.998783,0.981100
34,0.000000,1.640000,0.013333,1.880000,1.000000,0.983600,0.999867,0.981200
35,0.006667,1.680000,0.023333,2.040000,0.999933,0.983200,0.999767,0.979600
36,0.053333,1.640000,0.050000,1.990000,0.999467,0.983600,0.999500,0.980100
37,0.000000,1.830000,0.360000,2.280000,1.000000,0.981700,0.996400,0.977200
38,0.003333,1.720000,0.126667,2.000000,0.999967,0.982800,0.998733,0.980000
39,0.021667,1.700000,0.028333,2.040000,0.999783,0.983000,0.999717,0.979600
40,0.001667,1.550000,0.053333,1.910000,0.999983,0.984500,0.999467,0.980900
41,0.000000,1.620000,0.106667,2.020000,1.000000,0.983800,0.998933,0.979800
42,0.008333,1.570000,0.018333,2.070000,0.999917,0.984300,0.999817,0.979300
43,0.001667,1.610000,0.588333,2.890000,0.999983,0.983900,0.994117,0.971100
44,0.003333,1.660000,0.010000,1.850000,0.999967,0.983400,0.999900,0.981500
45,0.005000,1.670000,0.008333,1.830000,0.999950,0.983300,0.999917,0.981700
46,0.001667,1.660000,0.100000,2.010000,0.999983,0.983400,0.999000,0.979900
47,0.010000,1.700000,0.003333,1.970000,0.999900,0.983000,0.999967,0.980300
48,0.015000,1.730000,0.038333,2.040000,0.999850,0.982700,0.999617,0.979600
49,0.018333,1.770000,0.058333,2.120000,0.999817,0.982300,0.999417,0.978800
50,0.000000,1.740000,0.010000,1.850000,1.000000,0.982600,0.999900,0.981500
51,0.000000,1.740000,0.003333,1.880000,1.000000,0.982600,0.999967,0.981200
52,0.008333,1.750000,0.041667,1.870000,0.999917,0.982500,0.999583,0.981300
53,0.021667,1.850000,0.023333,1.930000,0.999783,0.981500,0.999767,0.980700
54,0.003333,1.740000,0.068333,2.090000,0.999967,0.982600,0.999317,0.979100
55,0.008333,1.680000,0.031667,2.070000,0.999917,0.983200,0.999683,0.979300
56,0.001667,1.590000,0.291667,2.280000,0.999983,0.984100,0.997083,0.977200
57,0.008333,1.660000,0.073333,2.070000,0.999917,0.983400,0.999267,0.979300
58,0.006667,1.680000,0.031667,1.800000,0.999933,0.983200,0.999683,0.982000
59,0.011667,1.690000,0.060000,2.070000,0.999883,0.983100,0.999400,0.979300
60,0.000000,1.670000,0.035000,1.950000,1.000000,0.983300,0.999650,0.980500
