epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,11.383333,11.100000,13.738333,13.190000,0.886167,0.889000,0.862617,0.868100
2,5.406667,5.700000,7.668333,7.780000,0.945933,0.943000,0.923317,0.922200
3,3.035000,3.840000,7.198333,7.950000,0.969650,0.961600,0.928017,0.920500
4,3.815000,4.320000,5.298333,6.090000,0.961850,0.956800,0.947017,0.939100
5,1.265000,2.530000,3.550000,4.380000,0.987350,0.974700,0.964500,0.956200
6,1.660000,2.790000,4.936667,5.420000,0.983400,0.972100,0.950633,0.945800
7,0.728333,2.240000,2.321667,3.300000,0.992717,0.977600,0.976783,0.967000
8,1.310000,2.680000,1.766667,2.820000,0.986900,0.973200,0.982333,0.971800
9,0.736667,2.510000,3.253333,4.410000,0.992633,0.974900,0.967467,0.955900
10,0.365000,2.120000,1.443333,2.920000,0.996350,0.978800,0.985567,0.970800
11,0.120000,1.910000,1.191667,2.410000,0.998800,0.980900,0.988083,0.975900
12,0.058333,1.740000,0.798333,2.230000,0.999417,0.982600,0.992017,0.977700
13,0.058333,1.870000,1.746667,3.100000,0.999417,0.981300,0.982533,0.969000
14,0.076667,1.760000,0.966667,2.540000,0.999233,0.982400,0.990333,0.974600
15,0.186667,2.160000,1.053333,2.680000,0.998133,0.978400,0.989467,0.973200
16,0.095000,1.940000,0.756667,2.450000,0.999050,0.980600,0.992433,0.975500
17,0.036667,1.800000,4.153333,6.110000,0.999633,0.982000,0.958467,0.938900
18,0.035000,1.770000,1.288333,2.930000,0.999650,0.982300,0.987117,0.970700
19,0.000000,1.630000,0.183333,1.890000,1.000000,0.983700,0.998167,0.981100
20,0.023333,1.710000,0.136667,1.770000,0.999767,0.982900,0.998633,0.982300
21,0.000000,1.650000,1.616667,3.810000,1.000000,0.983500,0.983833,0.961900
22,0.041667,1.710000,0.775000,2.530000,0.999583,0.982900,0.992250,0.974700
23,0.006667,1.660000,0.251667,2.000000,0.999933,0.983400,0.997483,0.980000
24,0.001667,1.700000,0.478333,2.100000,0.999983,0.983000,0.995217,0.979000
25,0.001667,1.670000,0.588333,2.510000,0.999983,0.983300,0.994117,0.974900
26,0.031667,1.700000,0.138333,1.930000,0.999683,0.983000,0.998617,0.980700
27,0.010000,1.650000,0.053333,1.810000,0.999900,0.983500,0.999467,0.981900
28,0.003333,1.610000,0.078333,2.030000,0.999967,0.983900,0.999217,0.979700
29,0.058333,1.800000,0.036667,1.770000,0.999417,0.982000,0.999633,0.982300
30,0.023333,1.720000,0.021667,1.710000,0.999767,0.982800,0.999783,0.982900
31,0.000000,1.710000,0.085000,1.890000,1.000000,0.982900,0.999150,0.981100
32,0.000000,1.640000,0.151667,1.920000,1.000000,0.983600,0.998483,0.980800
33,0.021667,1.760000,0.036667,1.890000,0.999783,0.982400,0.999633,0.981100
34,0.030000,1.920000,0.028333,2.020000,0.999700,0.980800,0.999717,0.979800
35,0.006667,1.580000,0.068333,1.980000,0.999933,0.984200,0.999317,0.980200
36,0.025000,1.820000,0.040000,1.990000,0.999750,0.981800,0.999600,0.980100
37,0.008333,1.720000,0.518333,2.460000,0.999917,0.982800,0.994817,0.975400
38,0.041667,1.730000,0.043333,2.020000,0.999583,0.982700,0.999567,0.979800
39,0.036667,1.840000,0.708333,2.550000,0.999633,0.981600,0.992917,0.974500
40,0.003333,1.590000,0.090000,1.900000,0.999967,0.984100,0.999100,0.981000
41,0.001667,1.790000,0.023333,1.960000,0.999983,0.982100,0.999767,0.980400
42,0.000000,1.620000,0.001667,1.770000,1.000000,0.983800,0.999983,0.982300
43,0.015000,1.790000,0.016667,1.910000,0.999850,0.982100,0.999833,0.980900
44,0.005000,1.630000,0.061667,1.950000,0.999950,0.983700,0.999383,0.980500
45,0.011667,1.770000,0.201667,2.120000,0.999883,0.982300,0.997983,0.978800
46,0.001667,1.710000,0.048333,1.930000,0.999983,0.982900,0.999517,0.980700
47,0.000000,1.600000,0.028333,1.940000,1.000000,0.984000,0.999717,0.980600
48,0.016667,1.700000,0.011667,1.800000,0.999833,0.983000,0.999883,0.982000
49,0.008333,1.540000,0.015000,1.860000,0.999917,0.984600,0.999850,0.981400
50,0.006667,1.640000,0.136667,2.180000,0.999933,0.983600,0.998633,0.978200
51,0.006667,1.780000,0.023333,1.890000,0.999933,0.982200,0.999767,0.981100
52,0.003333,1.560000,0.010000,1.740000,0.999967,0.984400,0.999900,0.982600
53,0.005000,1.580000,0.683333,2.680000,0.999950,0.984200,0.993167,0.973200
54,0.000000,1.680000,0.046667,1.950000,1.000000,0.983200,0.999533,0.980500
55,0.001667,1.720000,1.116667,3.270000,0.999983,0.982800,0.988833,0.967300
56,0.008333,1.670000,0.048333,1.980000,0.999917,0.983300,0.999517,0.980200
57,0.000000,1.600000,0.025000,2.000000,1.000000,0.984000,0.999750,0.980000
58,0.000000,1.800000,0.013333,1.830000,1.000000,0.982000,0.999867,0.981700
59,0.000000,1.710000,0.013333,1.920000,1.000000,0.982900,0.999867,0.980800
60,0.001667,1.720000,0.055000,2.010000,0.999983,0.982800,0.999450,0.979900
