epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,13.605000,13.010000,18.825000,18.370000,0.863950,0.869900,0.811750,0.816300
2,5.450000,5.370000,8.480000,8.280000,0.945500,0.946300,0.915200,0.917200
3,3.881667,4.090000,6.210000,6.620000,0.961183,0.959100,0.937900,0.933800
4,2.470000,3.230000,3.925000,4.460000,0.975300,0.967700,0.960750,0.955400
5,1.988333,2.650000,2.978333,3.560000,0.980117,0.973500,0.970217,0.964400
6,1.535000,2.420000,3.290000,3.930000,0.984650,0.975800,0.967100,0.960700
7,0.986667,2.180000,3.925000,4.740000,0.990133,0.978200,0.960750,0.952600
8,0.705000,2.090000,2.190000,3.020000,0.992950,0.979100,0.978100,0.969800
9,0.868333,2.330000,1.516667,2.690000,0.991317,0.976700,0.984833,0.973100
10,0.445000,2.050000,2.720000,3.670000,0.995550,0.979500,0.972800,0.963300
11,0.448333,2.260000,2.140000,3.380000,0.995517,0.977400,0.978600,0.966200
12,0.496667,2.220000,0.721667,2.140000,0.995033,0.977800,0.992783,0.978600
13,0.096667,1.940000,0.551667,2.110000,0.999033,0.980600,0.994483,0.978900
14,0.051667,1.880000,1.275000,2.740000,0.999483,0.981200,0.987250,0.972600
15,0.050000,1.800000,0.698333,2.330000,0.999500,0.982000,0.993017,0.976700
16,0.051667,1.690000,0.388333,1.810000,0.999483,0.983100,0.996117,0.981900
17,0.015000,1.660000,0.290000,2.050000,0.999850,0.983400,0.997100,0.979500
18,0.015000,1.740000,0.731667,2.490000,0.999850,0.982600,0.992683,0.975100
19,0.023333,1.750000,0.168333,1.900000,0.999767,0.982500,0.998317,0.981000
20,0.005000,1.720000,0.460000,2.170000,0.999950,0.982800,0.995400,0.978300
21,0.005000,1.730000,0.076667,1.980000,0.999950,0.982700,0.999233,0.980200
22,0.006667,1.670000,0.476667,2.130000,0.999933,0.983300,0.995233,0.978700
23,0.001667,1.690000,1.316667,3.050000,0.999983,0.983100,0.986833,0.969500
24,0.000000,1.590000,0.053333,1.780000,1.000000,0.984100,0.999467,0.982200
25,0.008333,1.660000,0.048333,1.720000,0.999917,0.983400,0.999517,0.982800
26,0.071667,1.870000,0.065000,1.880000,0.999283,0.981300,0.999350,0.981200
27,0.000000,1.630000,0.090000,2.060000,1.000000,0.983700,0.999100,0.979400
28,0.001667,1.630000,0.068333,1.660000,0.999983,0.983700,0.999317,0.983400
29,0.000000,1.600000,0.020000,1.620000,1.000000,0.984000,0.999800,0.983800
30,0.000000,1.590000,0.015000,1.740000,1.000000,0.984100,0.999850,0.982600
31,0.000000,1.580000,0.005000,1.640000,1.000000,0.984200,0.999950,0.983600
32,0.000000,1.620000,0.176667,2.090000,1.000000,0.983800,0.998233,0.979100
33,0.003333,1.600000,0.023333,1.710000,0.999967,0.984000,0.999767,0.982900
34,0.000000,1.580000,0.000000,1.630000,1.000000,0.984200,1.000000,0.983700
35,0.000000,1.590000,0.135000,1.960000,1.000000,0.984100,0.998650,0.980400
36,0.010000,1.760000,0.005000,1.640000,0.999900,0.982400,0.999950,0.983600
37,0.001667,1.620000,0.246667,2.290000,0.999983,0.983800,0.997533,0.977100
38,0.000000,1.580000,0.000000,1.610000,1.000000,0.984200,1.000000,0.983900
39,0.023333,1.700000,0.005000,1.630000,0.999767,0.983000,0.999950,0.983700
40,0.000000,1.650000,0.093333,1.910000,1.000000,0.983500,0.999067,0.980900
41,0.000000,1.470000,0.021667,1.770000,1.000000,0.985300,0.999783,0.982300
42,0.000000,1.500000,0.006667,1.680000,1.000000,0.985000,0.999933,0.983200
43,0.000000,1.550000,0.006667,1.610000,1.000000,0.984500,0.999933,0.983900
44,0.000000,1.510000,0.051667,1.900000,1.000000,0.984900,0.999483,0.981000
45,0.000000,1.510000,0.006667,1.590000,1.000000,0.984900,0.999933,0.984100
46,0.000000,1.500000,0.048333,1.720000,1.000000,0.985000,0.999517,0.982800
47,0.000000,1.490000,0.001667,1.670000,1.000000,0.985100,0.999983,0.983300
48,0.000000,1.540000,0.056667,1.910000,1.000000,0.984600,0.999433,0.980900
49,0.000000,1.550000,0.015000,1.760000,1.000000,0.984500,0.999850,0.982400
50,0.071667,1.840000,0.000000,1.650000,0.999283,0.981600,1.000000,0.983500
51,0.000000,1.540000,0.110000,2.000000,1.000000,0.984600,0.998900,0.980000
52,0.000000,1.610000,0.256667,1.960000,1.000000,0.983900,0.997433,0.980400
53,0.000000,1.540000,0.001667,1.800000,1.000000,0.984600,0.999983,0.982000
54,0.000000,1.570000,0.000000,1.670000,1.000000,0.984300,1.000000,0.983300
55,0.000000,1.670000,0.003333,1.670000,1.000000,0.983300,0.999967,0.983300
56,0.000000,1.550000,0.005000,1.690000,1.000000,0.984500,0.999950,0.983100
57,0.000000,1.600000,0.021667,1.780000,1.000000,0.984000,0.999783,0.982200
58,0.000000,1.510000,0.000000,1.730000,1.000000,0.984900,1.000000,0.982700
59,0.000000,1.510000,0.011667,1.560000,1.000000,0.984900,0.999883,0.984400
60,0.000000,1.590000,0.015000,1.800000,1.000000,0.984100,0.999850,0.982000
